,movie,imdb,metascore,votes,gross,year
115,Aliens,8.4,87,533486,85200000,1986
116,The Bourne Ultimatum,8.1,85,531966,227137090,2007
117,How to Train Your Dragon,8.1,74,531798,217387997,2010
118,The Hunger Games: Catching Fire,7.6,76,531179,424645577,2013
119,Full Metal Jacket,8.3,76,530527,46357676,1987
120,Star Trek,8.0,82,530188,257704099,2009
121,Avengers: Age of Ultron,7.4,66,528469,458991599,2015
122,Trainspotting,8.2,83,524104,16501785,1996
123,Million Dollar Baby,8.1,86,522664,100422786,2004
124,The Hobbit: The Desolation of Smaug,7.9,66,519745,258355354,2013
125,The Social Network,7.7,95,516050,96917897,2010
126,The Incredibles,8.0,90,515512,261437578,2004
127,The Revenant,8.0,76,511701,183635922,2015
128,Ratatouille,8.0,96,510723,206435493,2007
129,Pirates of the Caribbean: At World's End,7.1,50,508500,309404152,2007
130,Sherlock Holmes,7.6,57,506852,209019489,2009
131,Taken,7.8,50,506313,145000989,2008
132,Pan's Labyrinth,8.2,98,505584,37623143,2006
133,Star Wars: Episode II - Attack of the Clones,6.6,54,505454,310675583,2002
134,Blade Runner,8.2,89,502893,27000000,1982
135,World War Z,7.0,63,501466,202351611,2013
136,Shrek,7.9,84,501191,267652016,2001
137,Casino Royale,8.0,80,499714,167007184,2006
138,Ted,7.0,62,499399,218628680,2012
139,Now You See Me,7.3,50,499380,117698894,2013
140,Prometheus,7.0,65,496375,126464904,2012
141,12 Years a Slave,8.1,96,495570,56667870,2013
142,Twelve Monkeys,8.0,74,495349,56882000,1995
143,Fargo,8.1,85,494577,25882374,1996
144,Harry Potter and the Sorcerer's Stone,7.5,64,491936,317557891,2001
145,Whiplash,8.5,88,491486,13092000,2014
146,The Curious Case of Benjamin Button,7.8,70,490965,127490802,2008
147,Batman v Superman: Dawn of Justice,6.7,44,488847,330249062,2016
148,X-Men,7.4,64,488549,157299717,2000
149,Argo,7.7,86,486537,136019448,2012
150,Apocalypse Now,8.5,90,485908,78800000,1979
151,The Amazing Spider-Man,7.0,66,481224,262030663,2012
152,Edge of Tomorrow,7.9,71,480116,100189501,2014
153,Groundhog Day,8.0,72,477505,70906973,1993
154,Life of Pi,7.9,79,477459,124976634,2012
155,La vita è bella,8.6,59,468292,57598247,1997
156,Sen to Chihiro no kamikakushi,8.6,96,468156,10049886,2001
157,2001: A Space Odyssey,8.3,86,467791,56715371,1968
158,Drive,7.8,78,467283,35054909,2011
159,Into the Wild,8.1,73,465830,18352454,2007
160,Heat,8.2,76,464483,67436000,1995
161,Jurassic World,7.0,59,463186,652177271,2015
162,Psycho,8.5,97,462559,32000000,1960
163,Kick-Ass,7.7,66,461577,48043505,2010
164,Frozen,7.5,74,458411,400736600,2013
165,Independence Day,7.0,59,457737,306124059,1996
166,Looper,7.4,84,457447,66468315,2012
167,Thor: The Dark World,7.0,54,450598,206360018,2013
168,Limitless,7.4,59,449861,79235468,2011
169,Kingsman: The Secret Service,7.7,58,449718,128248205,2014
170,Jaws,8.0,86,449126,260000000,1975
171,Birdman or (The Unexpected Virtue of Ignorance),7.8,88,448284,42335698,2014
172,Spider-Man 2,7.3,83,447393,373377893,2004
173,Superbad,7.6,76,446562,121463226,2007
174,"Lock, Stock and Two Smoking Barrels",8.2,66,445382,3650677,1998
175,L.A. Confidential,8.3,90,444193,64604977,1997
176,The Matrix Reloaded,7.2,62,443533,281492479,2003
177,Prisoners,8.1,74,440497,60962878,2013
178,The Bourne Identity,7.9,68,438922,121468960,2002
179,21 Jump Street,7.2,69,437436,138447667,2012
180,X2,7.5,68,436989,214948780,2003
181,Juno,7.5,81,436088,143492840,2007
182,Men in Black,7.3,71,433703,250147615,1997
183,Rise of the Planet of the Apes,7.6,68,433323,176740650,2011
184,Captain America: Civil War,7.9,75,430643,408080554,2016
185,Ocean's Eleven,7.8,74,430413,183405771,2001
186,Inside Out,8.2,94,429496,356454367,2015
187,Minority Report,7.7,80,426468,132014112,2002
188,Harry Potter and the Chamber of Secrets,7.4,63,426457,261970615,2002
189,The Notebook,7.9,53,426278,64286,2004
190,Blood Diamond,8.0,64,426168,57366262,2006
191,Cast Away,7.7,73,424952,233630478,2000
192,Shaun of the Dead,8.0,76,423711,13464388,2004
193,Harry Potter and the Goblet of Fire,7.7,81,423388,289994397,2005
194,Star Trek Into Darkness,7.8,72,421297,228756232,2013
195,Harry Potter and the Prisoner of Azkaban,7.8,82,421286,249358727,2004
196,Suicide Squad,6.2,40,419820,325021779,2016
197,"I, Robot",7.1,59,418344,144795350,2004
198,Despicable Me,7.7,72,417222,251501645,2010
199,Toy Story 2,7.9,88,415846,245823397,1999
200,Watchmen,7.6,56,414952,107503316,2009
201,Oblivion,7.0,54,414858,89021735,2013
202,Zombieland,7.7,73,414670,75590286,2009
203,Spider-Man 3,6.2,59,413196,336530303,2007
204,Rocky,8.1,69,412631,117235247,1976
205,X-Men: The Last Stand,6.7,58,411642,234360014,2006
206,Monty Python and the Holy Grail,8.3,93,410496,1229197,1975
207,Source Code,7.5,74,410106,54696902,2011
208,Troy,7.2,56,409762,133228348,2004
209,There Will Be Blood,8.1,93,407105,40218903,2007
210,Rain Man,8.0,65,404935,172825435,1988
211,Pacific Rim,7.0,64,404319,101785482,2013
212,(500) Days of Summer,7.7,76,403755,32391374,2009
213,Pirates of the Caribbean: On Stranger Tides,6.7,45,403466,241063875,2011
214,"Crazy, Stupid, Love.",7.4,68,400869,84244877,2011
215,The Hangover Part II,6.5,44,398589,254455986,2011
216,Her,8.0,90,397972,25556065,2013
217,Oldeuboi,8.4,74,393903,2181290,2003
218,X-Men Origins: Wolverine,6.7,40,393865,179883016,2009
219,The Hobbit: The Battle of the Five Armies,7.4,59,391917,255108370,2014
220,Harry Potter and the Order of the Phoenix,7.5,71,391168,292000866,2007
221,The Great Gatsby,7.3,55,390683,144812796,2013
222,Children of Men,7.9,84,387647,35286428,2006
223,American Psycho,7.6,64,386354,15047419,2000
224,Mission: Impossible - Ghost Protocol,7.4,73,385875,209364921,2011
225,The Matrix Revolutions,6.7,47,384445,139259759,2003
226,The Butterfly Effect,7.7,30,383191,23947,2004
227,American Hustle,7.3,90,382813,150117807,2013
228,The Perks of Being a Wallflower,8.0,67,382387,17738570,2012
229,Edward Scissorhands,7.9,74,380936,56362352,1990
230,Hot Fuzz,7.9,81,380002,23618786,2007
231,Ant-Man,7.3,64,379683,180191634,2015
232,Little Miss Sunshine,7.8,80,377681,59889948,2006
233,Crash,7.8,69,376972,54557348,2004
234,The Bourne Supremacy,7.8,73,376486,176049130,2004
235,Mr. & Mrs. Smith,6.5,55,375007,186336103,2005
236,Back to the Future Part II,7.8,57,372603,118500000,1989
237,Horrible Bosses,6.9,57,371945,117528646,2011
238,Hancock,6.4,49,370789,227946274,2008
239,Arrival,8.0,81,369218,100501349,2016
240,Le cinquième élément,7.7,52,367327,63540020,1997
241,Big Fish,8.0,58,366973,66257002,2003
242,Divergent,6.7,48,366392,150832203,2014
243,The Pursuit of Happyness,8.0,64,365360,162586036,2006
244,Twilight,5.2,56,364310,191449475,2008
245,Elysium,6.6,61,363361,93050117,2013
246,Casino,8.2,73,363011,42438300,1995
247,Harry Potter and the Deathly Hallows: Part 1,7.7,65,362919,294980434,2010
248,Sherlock Holmes: A Game of Shadows,7.5,48,361470,186830669,2011
249,The Wolverine,6.7,60,360970,132550960,2013
250,Warrior,8.2,71,360744,13651662,2011
251,American Sniper,7.3,72,358596,350123553,2014
252,Lucy,6.4,61,358397,126546825,2014
253,Indiana Jones and the Temple of Doom,7.6,57,358270,179870271,1984
254,Mystic River,8.0,84,358199,90135191,2003
255,Dallas Buyers Club,8.0,84,357341,27296514,2013
256,Harry Potter and the Half-Blood Prince,7.5,78,356697,301956980,2009
257,The Hurt Locker,7.6,94,355884,15700000,2008
258,Indiana Jones and the Kingdom of the Crystal Skull,6.2,65,355167,317011114,2008
259,War of the Worlds,6.5,73,354928,234277056,2005
260,The Day After Tomorrow,6.4,47,353996,186739919,2004
261,Ice Age,7.6,60,352811,176387405,2002
262,The Girl with the Dragon Tattoo,7.8,71,352330,102515793,2011
263,Logan,8.2,77,352227,226276809,2017
264,Quantum of Solace,6.6,58,350960,168368427,2008
265,The Hateful Eight,7.8,68,350918,54116191,2015
266,Captain Phillips,7.8,83,350518,107100855,2013
267,Live Free or Die Hard,7.2,69,350082,134520804,2007
268,The Amazing Spider-Man 2,6.7,53,348854,202853933,2014
269,Dawn of the Planet of the Apes,7.6,79,348850,208543795,2014
270,Ex Machina,7.7,78,348032,25440971,2014
271,Rogue One,7.9,65,347983,532171696,2016
272,The Help,8.1,62,347026,169705587,2011
273,The Incredible Hulk,6.8,61,346933,134518390,2008
274,Charlie and the Chocolate Factory,6.7,72,346719,206456431,2005
275,Home Alone,7.5,63,345838,285761243,1990
276,Rush,8.1,75,345167,26903709,2013
277,John Wick,7.3,68,344683,42996986,2014
278,Love Actually,7.7,55,343792,59365105,2003
279,Transformers: Dark of the Moon,6.3,42,343088,352358779,2011
280,The Da Vinci Code,6.6,46,341827,217536138,2006
281,Lost in Translation,7.8,89,341659,44566004,2003
282,Armageddon,6.6,42,341251,201573391,1998
283,Transformers: Revenge of the Fallen,6.0,35,340801,402076689,2009
284,American Gangster,7.8,76,340582,130127620,2007
285,The Maze Runner,6.8,57,340419,102413606,2014
286,Nightcrawler,7.9,76,340224,32279955,2014
287,Beauty and the Beast,8.0,95,339633,218967620,1991
288,Shrek 2,7.2,75,338868,436471036,2004
289,We're the Millers,7.0,44,338808,150368971,2013
290,King Kong,7.2,81,338478,218051260,2005
291,The Mummy,7.0,48,337772,155247825,1999
292,Fury,7.6,64,337281,85707116,2014
293,The Last Samurai,7.7,55,337218,111110575,2003
294,The Hunger Games: Mockingjay - Part 1,6.7,64,337145,337103873,2014
295,Zodiac,7.7,78,337138,33048353,2007
296,Gangs of New York,7.5,72,336326,77679638,2002
297,The Conjuring,7.5,68,335946,137387272,2013
298,Kung Fu Panda,7.6,73,334833,215395021,2008
299,The 40 Year Old Virgin,7.1,73,331820,109243478,2005
300,This Is the End,6.6,67,331557,101470202,2013
301,American Pie,7.0,58,330011,101736215,1999
302,Alice in Wonderland,6.5,53,328427,334185206,2010
303,The Terminal,7.3,55,327359,77032279,2004
304,Doctor Strange,7.6,72,327251,232597113,2016
305,Training Day,7.7,69,326024,76261036,2001
306,In Bruges,7.9,67,325278,7757130,2008
307,Tropic Thunder,7.0,71,324856,110416702,2008
308,Midnight in Paris,7.7,81,324238,56816662,2011
309,Terminator 3: Rise of the Machines,6.3,66,323209,150350192,2003
310,Furious 6,7.1,61,322072,238673370,2013
311,In Time,6.7,53,322051,37553932,2011
312,Godzilla,6.4,62,321458,200661309,2014
313,Tangled,7.8,71,321301,200807262,2010
314,Mission: Impossible,7.1,59,320308,180965237,1996
315,Saw,7.7,46,318780,55153403,2004
316,The Princess Bride,8.1,77,317344,30857814,1987
317,28 Days Later...,7.6,73,317206,45063889,2002
318,Cloverfield,7.0,64,316985,80034302,2008
319,Bruce Almighty,6.7,46,316327,242589580,2003
320,Die Hard with a Vengeance,7.6,58,315252,100012500,1995
321,Wanted,6.7,64,315158,134568845,2008
322,Big Hero 6,7.8,74,315084,222487711,2014
323,Platoon,8.1,92,314108,137963328,1986
324,The Wizard of Oz,8.1,100,313973,22202612,1939
325,Spectre,6.8,60,313787,200074175,2015
326,The Illusionist,7.6,68,313092,39825798,2006
327,Back to the Future Part III,7.4,55,312557,87666629,1990
328,Knocked Up,7.0,85,311783,148734225,2007
329,Black Hawk Down,7.7,74,310806,108638745,2001
330,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,89,310560,128505958,2006
331,Predator,7.8,40,310194,59735548,1987
332,Despicable Me 2,7.4,62,310091,368049635,2013
333,Collateral,7.6,71,309486,100003492,2004
334,Zootopia,8.1,78,308882,341264012,2016
335,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,75,307538,291709845,2005
336,Furious Seven,7.2,67,306224,350034110,2015
337,The Devil Wears Prada,6.8,62,305314,124732962,2006
338,The Theory of Everything,7.7,72,304838,35887263,2014
339,Fast Five,7.3,66,304672,209805005,2011
340,Dumb and Dumber,7.3,41,304284,127175354,1994
341,Ocean's Twelve,6.5,58,303198,125531634,2004
342,E.T. the Extra-Terrestrial,7.9,91,302446,434949459,1982
343,The Lost World: Jurassic Park,6.5,59,301669,229074524,1997
344,Cloud Atlas,7.5,55,301427,27098580,2012
345,Super 8,7.1,72,301369,126975169,2011
346,The Machinist,7.7,61,301255,1082044,2004
347,The Exorcist,8.0,82,301190,204565000,1973
348,2012,5.8,49,301116,166112167,2009
349,Unforgiven,8.2,84,300940,101157447,1992
350,The Italian Job,7.0,68,300312,106126012,2003
351,Moneyball,7.6,87,300053,75605492,2011
352,The Cabin in the Woods,7.0,72,299879,42043633,2012
353,Terminator Salvation,6.6,49,299602,125320003,2009
354,Face/Off,7.3,82,299483,112225777,1997
355,Sweeney Todd: The Demon Barber of Fleet Street,7.4,83,299220,52882759,2007
356,Easy A,7.1,72,298445,58401464,2010
357,Brave,7.2,69,298320,237282182,2012
358,Dead Poets Society,8.0,79,297525,95860116,1989
359,Scott Pilgrim vs. the World,7.5,69,297316,31494270,2010
360,The Town,7.6,74,297245,92173235,2010
361,127 Hours,7.6,82,296907,18329466,2010
362,Amadeus,8.3,93,295104,51600000,1984
363,Wreck-It Ralph,7.7,72,294872,189412677,2012
364,Stand by Me,8.1,75,294538,52287414,1986
365,Life of Brian,8.1,75,293304,646124,1979
366,Wedding Crashers,7.0,64,293211,209218368,2005
367,The Fast and the Furious,6.7,58,293064,144512310,2001
368,The Fighter,7.8,79,292694,93571803,2010
369,Ghostbusters,7.8,71,292476,229242989,1984
370,The Godfather: Part III,7.6,60,291928,66676062,1990
371,Madagascar,6.9,57,290605,193136719,2005
372,Signs,6.7,59,290228,227965690,2002
373,Boyhood,7.9,100,290122,25359200,2014
374,Friends with Benefits,6.6,63,289736,55802754,2011
375,La La Land,8.2,93,288862,151058124,2016
376,X-Men: Apocalypse,7.0,52,288843,155333829,2016
377,Cars,7.1,73,288825,244052771,2006
378,Inside Man,7.6,76,288093,88504640,2006
379,The Others,7.6,74,288092,96471845,2001
380,Yes Man,6.8,46,286659,97680195,2008
381,Batman,7.6,69,286353,251188924,1989
382,Die Hard 2,7.1,67,286266,117541000,1990
383,The Expendables,6.5,45,286075,102981571,2010
384,Due Date,6.6,51,285182,100448498,2010
385,22 Jump Street,7.1,71,284789,191616238,2014
386,Hotel Rwanda,8.1,79,283835,23472900,2004
387,50/50,7.7,72,283802,34963967,2011
388,Anchorman: The Legend of Ron Burgundy,7.2,63,283712,84136909,2004
389,The Thing,8.2,57,283552,13782838,1982
390,The Mask,6.9,56,283548,119938730,1994
391,Man on Fire,7.7,47,282616,77862546,2004
392,Sleepy Hollow,7.4,65,282434,101068340,1999
393,Men in Black II,6.1,49,282413,190418803,2002
394,The Lives of Others,8.5,89,282175,11284657,2006
395,The Aviator,7.5,77,281741,102608827,2004
396,The Game,7.8,61,281712,48265581,1997
397,Up in the Air,7.4,83,281507,83813460,2009
398,50 First Dates,6.8,48,281328,120776832,2004
399,Men in Black 3,6.8,58,280933,179020854,2012
400,The Breakfast Club,7.9,62,280677,38100000,1985
401,Moon,7.9,67,280543,5009677,2009
402,Flight,7.3,76,278746,93749203,2012
403,Spotlight,8.1,93,278643,44988180,2015
404,Fantastic Four,5.7,40,278581,154695569,2005
405,Speed,7.2,78,276877,121248145,1994
406,The Devil's Advocate,7.5,60,276416,60984028,1997
407,Unbreakable,7.2,62,276406,94999143,2000
408,Tron,6.8,49,276225,172051787,2010
409,The Fault in Our Stars,7.8,69,276034,124868837,2014
410,Equilibrium,7.5,33,275295,1190018,2002
411,Brokeback Mountain,7.7,87,274500,83025853,2005
412,The Island,6.9,50,274124,35799026,2005
413,Lucky Number Slevin,7.8,53,274035,22494487,2006
414,Mission: Impossible III,6.9,66,273287,133382309,2006
415,Meet the Parents,7.0,73,273231,166225040,2000
416,Ocean's Thirteen,6.9,62,272487,117144465,2007
417,The Rock,7.4,58,272363,134006721,1996
418,Maleficent,7.0,56,272334,241407328,2014
419,The Ring,7.1,57,272252,128579698,2002
420,The LEGO Movie,7.8,83,271259,257756197,2014
421,The Simpsons Movie,7.4,80,271174,183132370,2007
422,Pineapple Express,7.0,64,270508,87341380,2008
423,Shooter,7.2,53,270294,46975183,2007
424,Pearl Harbor,6.1,44,270077,198539855,2001
425,Der Untergang,8.3,82,268537,5501940,2004
426,Being John Malkovich,7.8,90,267820,22858926,1999
427,Mean Girls,7.0,66,267321,86049418,2004
428,National Treasure,6.9,39,266733,173005002,2004
429,Real Steel,7.1,56,266582,85463309,2011
430,The Interview,6.6,52,264345,6105175,2014
431,Burn After Reading,7.0,63,262468,60338891,2008
432,The Mummy Returns,6.3,48,262419,202007640,2001
433,Mission: Impossible - Rogue Nation,7.4,75,262027,195000874,2015
434,Ferris Bueller's Day Off,7.8,61,261933,70136369,1986
435,Hugo,7.5,83,261808,73820094,2011
436,Click,6.4,45,261540,137340146,2006
437,The Wrestler,7.9,81,261243,26236603,2008
438,Transformers: Age of Extinction,5.7,32,261025,245428137,2014
439,Les Misérables,7.6,63,260044,148775460,2012
440,Lord of War,7.6,62,259746,24127895,2005
441,Mulholland Dr.,8.0,83,259636,7219578,2001
442,The Expendables 2,6.6,51,259587,85017401,2012
443,Hellboy,6.8,72,258760,59035104,2004
444,Mission: Impossible II,6.1,59,258183,215397307,2000
445,There's Something About Mary,7.1,69,258090,176483808,1998
446,Moonrise Kingdom,7.8,84,258030,45507053,2012
447,Salt,6.4,65,257959,118311368,2010
448,Hitch,6.6,58,257622,177575142,2005
