,movie,imdb,metascore,votes,gross,year
518,Ace Ventura: Pet Detective,6.9,37,230454,72217000,1994
519,Angels & Demons,6.7,48,230398,133375846,2009
520,Bridesmaids,6.8,75,230247,169076745,2011
521,Batman Returns,7.0,68,229944,162831698,1992
522,Pitch Perfect,7.2,66,229549,64998368,2012
523,Gone in Sixty Seconds,6.5,35,229151,101643008,2000
524,Jumanji,6.9,39,228839,100200000,1995
525,Zero Dark Thirty,7.4,95,228832,95720716,2012
526,Alien³,6.4,59,228614,55473600,1992
527,Forgetting Sarah Marshall,7.2,67,228480,62877175,2008
528,The Dictator,6.4,58,227796,59617068,2012
529,Shrek the Third,6.1,58,227625,320706665,2007
530,Wo hu cang long,7.9,93,226649,128067808,2000
531,Step Brothers,6.9,51,225542,100468793,2008
532,About Time,7.8,55,225199,15294553,2013
533,The Fugitive,7.8,88,224987,183875760,1993
534,A Bug's Life,7.2,77,224682,162792677,1998
535,Fear and Loathing in Las Vegas,7.7,41,224602,10562387,1998
536,1408,6.8,64,224059,71975611,2007
537,28 Weeks Later,7.0,78,223952,28637507,2007
538,Underworld,7.0,42,223509,51483949,2003
539,Bridge of Spies,7.6,81,223416,72306065,2015
540,The Royal Tenenbaums,7.6,76,223233,52353636,2001
541,Insidious,6.8,52,223035,53991137,2010
542,Robin Hood,6.7,53,222970,105219735,2010
543,Apollo 13,7.6,77,222643,172071312,1995
544,John Carter,6.6,51,222574,73058679,2012
545,Hulk,5.7,54,222409,132122995,2003
546,Stardust,7.7,66,222403,38345403,2007
547,The School of Rock,7.1,82,222357,81257845,2003
548,Lone Survivor,7.5,60,222179,125069696,2013
549,4: Rise of the Silver Surfer,5.6,45,222160,131920333,2007
550,Meet the Fockers,6.3,41,221926,279167575,2004
551,The Graduate,8.0,77,221299,104397102,1967
552,The A-Team,6.8,47,220948,77213489,2010
553,Fast & Furious,6.6,46,220790,155022220,2009
554,Unknown,6.9,56,220190,61094903,2011
555,Phone Booth,7.1,56,220004,46563158,2002
556,The Patriot,7.2,63,219827,113330342,2000
557,Hannibal,6.8,57,219280,165091464,2001
558,Passengers,7.0,41,219171,100014092,2016
559,Hellboy II: The Golden Army,7.0,78,219129,75754670,2008
560,Wonder Woman,7.9,76,218792,395674792,2017
561,Panic Room,6.8,65,218712,95308367,2002
562,Almost Famous,7.9,90,218393,32522352,2000
563,Notting Hill,7.1,66,218359,116006080,1999
564,Kick-Ass 2,6.6,41,217590,28751715,2013
565,Olympus Has Fallen,6.5,41,217099,98895417,2013
566,Vanilla Sky,6.9,45,216683,100614858,2001
567,Dredd,7.1,59,216073,13401683,2012
568,Contact,7.4,62,215274,100853835,1997
569,Chronicle,7.1,69,215033,64572496,2012
570,Resident Evil,6.7,33,214411,39532308,2002
571,Non-Stop,7.0,56,214309,91439400,2014
572,Red Dragon,7.2,60,214238,92930005,2002
573,Zoolander,6.6,61,213383,45162741,2001
574,Total Recall,6.3,43,213087,58877969,2012
575,The Grey,6.8,64,212822,51533608,2011
576,The Descendants,7.3,84,212539,82624961,2011
577,Road to Perdition,7.7,72,212156,104054514,2002
578,Battleship,5.8,41,212106,65173160,2012
579,Dark Shadows,6.2,55,211633,79711678,2012
580,Noah,5.8,68,211458,101160529,2014
581,Office Space,7.8,68,210960,10824921,1999
582,Vicky Cristina Barcelona,7.1,70,210750,23213577,2008
583,The Adjustment Bureau,7.1,60,210332,62453315,2011
584,American Pie 2,6.4,43,210119,145096820,2001
585,Lawrence of Arabia,8.3,100,210021,6000000,1962
586,Gone Baby Gone,7.7,72,209902,20300218,2007
587,Lincoln,7.4,86,209567,182204440,2012
588,Ice Age: The Meltdown,6.9,58,209535,195329763,2006
589,Van Helsing,6.0,35,209452,120025245,2004
590,Terminator Genisys,6.5,38,209239,89732035,2015
591,Blow,7.6,52,209092,52937130,2001
592,2 Fast 2 Furious,5.9,38,209029,127083765,2003
593,Changeling,7.8,63,208401,35707327,2008
594,The Man from U.N.C.L.E.,7.3,56,208138,45434443,2015
595,The Hunger Games: Mockingjay - Part 2,6.6,65,208066,281666058,2015
596,GoldenEye,7.2,65,207994,106635996,1995
597,Scent of a Woman,8.0,59,207756,63895607,1992
598,The Village,6.5,44,207438,114195633,2004
599,Pride & Prejudice,7.8,82,207410,38372662,2005
600,Crank,7.0,57,206809,27829874,2006
601,Sucker Punch,6.1,33,206523,36381716,2011
602,Atonement,7.8,85,205181,50921738,2007
603,RocknRolla,7.3,53,205068,5694401,2008
604,Dawn of the Dead,7.3,59,204693,58885635,2004
605,Blade,7.1,45,204620,70001065,1998
606,Beetlejuice,7.5,70,204594,73326666,1988
607,The Jungle Book,7.5,77,204530,363995937,2016
608,I Am Number Four,6.1,36,204231,55092830,2011
609,The World's End,7.0,81,204154,26003149,2013
610,Snowpiercer,7.0,84,204032,4563029,2013
611,Before Sunrise,8.1,77,203808,5400000,1995
612,Paul,7.0,57,203589,37371385,2011
613,Corpse Bride,7.4,83,203282,53337608,2005
614,The Place Beyond the Pines,7.3,68,203194,21383298,2012
615,Enemy at the Gates,7.6,53,202972,51396781,2001
616,Lethal Weapon,7.6,67,202708,65207127,1987
617,8 Mile,7.0,77,202615,116724075,2002
618,Batman Forever,5.4,51,202283,184031112,1995
619,The Other Guys,6.7,64,202205,119219978,2010
620,Jerry Maguire,7.3,77,202176,153620822,1996
621,Sunshine,7.3,64,202138,3675072,2007
622,Pitch Black,7.1,49,202038,39235088,2000
623,Don Jon,6.6,66,201879,24475193,2013
624,10 Cloverfield Lane,7.2,76,201470,71897215,2016
625,Perfume: The Story of a Murderer,7.5,56,201255,2208939,2006
626,The Artist,7.9,89,201248,44667095,2011
627,True Lies,7.2,63,201215,146282411,1994
628,Role Models,6.9,61,201145,67266300,2008
629,The Blair Witch Project,6.4,81,200892,140530114,1999
630,The Fountain,7.3,51,200890,10139254,2006
631,Batman & Robin,3.7,28,200773,107285004,1997
632,The Reader,7.6,58,200573,34180954,2008
633,Kung Fu Panda 2,7.3,67,200551,165230261,2011
634,Boogie Nights,7.9,85,200380,26384919,1997
635,21,6.8,48,199942,81159365,2008
636,Rush Hour,6.9,60,199936,141153686,1998
637,Eastern Promises,7.7,82,199860,17114882,2007
638,Dances with Wolves,8.0,72,199378,184208848,1990
639,21 Grams,7.7,70,198942,16248701,2003
640,Saw II,6.6,40,198892,87025093,2005
641,Seven Psychopaths,7.2,66,198842,14989761,2012
642,Enemy of the State,7.3,67,198381,111544445,1998
643,Thank You for Smoking,7.6,71,197763,24792061,2005
644,Walk the Line,7.9,72,197579,119518352,2005
645,Scary Movie,6.2,48,197492,156997084,2000
646,The Ides of March,7.1,67,197448,40962534,2011
647,A History of Violence,7.5,81,197370,31493782,2005
648,Lawless,7.3,58,197360,37397291,2012
649,Jagten,8.3,76,197040,610968,2012
650,The Fast and the Furious: Tokyo Drift,6.0,45,196679,62494975,2006
651,Dodgeball: A True Underdog Story,6.7,55,196638,114324072,2004
652,The Bucket List,7.4,42,196633,93452056,2007
653,Rango,7.2,75,196375,123207194,2011
654,Mrs. Doubtfire,6.9,53,196293,219200000,1993
655,The Twilight Saga: Breaking Dawn - Part 2,5.5,52,196220,292298923,2012
656,The Holiday,6.9,52,196099,63224849,2006
657,Ender's Game,6.7,51,196034,61656849,2013
658,Knowing,6.2,41,195886,79948113,2009
659,Valkyrie,7.1,56,195685,83077470,2008
660,Stranger Than Fiction,7.6,67,195446,40137776,2006
661,Warm Bodies,6.9,59,195156,66359959,2013
662,Disturbia,6.9,62,195016,80050171,2007
663,"Me, Myself & Irene",6.6,49,194940,90567722,2000
664,End of Watch,7.7,68,194563,40983001,2012
665,Split,7.3,62,194535,138120085,2016
666,Hook,6.7,52,194495,119654900,1991
667,The Twilight Saga: Eclipse,4.9,58,194460,300523113,2010
668,RoboCop,7.5,67,194202,53424681,1987
669,Paranormal Activity,6.3,68,193988,107917283,2007
670,A Few Good Men,7.7,62,193939,141340178,1992
671,Warcraft,6.9,32,193451,47167650,2016
672,Garden State,7.5,67,193262,26781723,2004
673,The Lone Ranger,6.5,37,193253,89289910,2013
674,Old School,7.2,54,192741,74608545,2003
675,Ghost Rider,5.2,35,192587,115802596,2007
676,Grown Ups,6.0,30,192580,162001186,2010
677,RoboCop,6.2,52,192483,58607007,2014
678,The Chronicles of Riddick,6.7,38,192357,57637485,2004
679,Chappie,6.9,41,192242,31569268,2015
680,Austin Powers: International Man of Mystery,7.0,51,192118,53868030,1997
681,Final Destination,6.7,36,192041,53302314,2000
682,The Twilight Saga: Breaking Dawn - Part 1,4.9,45,191871,281275991,2011
683,The Goonies,7.8,60,191703,61400000,1985
684,National Treasure: Book of Secrets,6.5,48,191617,219961501,2007
685,The Sting,8.3,80,191305,159600000,1973
686,Spy,7.1,75,191250,110822419,2015
687,Guardians of the Galaxy Vol. 2,8.1,67,190821,387764608,2017
688,Escape Plan,6.7,49,190275,25121291,2013
689,Mulan,7.6,71,190161,120618403,1998
690,Identity,7.3,64,190012,51475962,2003
691,Austin Powers: The Spy Who Shagged Me,6.6,59,189841,205399422,1999
692,Philadelphia,7.7,66,189714,77324422,1993
693,Clerks,7.8,70,189535,3151130,1994
694,The Road,7.3,64,189358,56692,2009
695,The Beach,6.6,43,189262,39778599,2000
696,Bad Boys II,6.6,38,188856,138396624,2003
697,Dogma,7.4,62,188618,30651422,1999
698,Rambo,7.1,46,188612,42724402,2008
699,Contagion,6.6,70,188514,75638743,2011
700,The Tourist,6.0,37,188502,67631157,2010
701,Alien: Resurrection,6.3,63,188339,47748610,1997
702,The Passion of the Christ,7.2,47,188012,370782930,2004
703,Planet of the Apes,5.7,50,187661,180011740,2001
704,Silent Hill,6.6,31,187096,46982632,2006
705,Bridget Jones's Diary,6.7,66,187052,71500556,2001
706,Transcendence,6.3,42,186893,23014504,2014
707,Kiss Kiss Bang Bang,7.6,72,186679,4235837,2005
708,The Adventures of Tintin,7.4,68,186508,77564037,2011
709,Megamind,7.3,63,186360,148337537,2010
710,Amores perros,8.1,83,185928,5383834,2000
711,Shakespeare in Love,7.2,87,185493,100241322,1998
712,The Nice Guys,7.4,70,185406,36247227,2016
713,Bad Boys,6.8,41,184960,65807024,1995
714,Munich,7.6,74,184920,47379090,2005
715,Just Go with It,6.4,33,184116,103028109,2011
716,Daredevil,5.3,42,184070,431881,2003
717,Natural Born Killers,7.3,74,183971,50282766,1994
718,Body of Lies,7.1,57,183892,39380442,2008
719,Män som hatar kvinnor,7.8,76,183623,10095170,2009
720,Chicago,7.2,82,183408,170684505,2002
721,Grease,7.2,70,183389,181360000,1978
722,The Lincoln Lawyer,7.3,63,183287,57981889,2011
723,Gangster Squad,6.7,40,182905,45996718,2013
724,Oz the Great and Powerful,6.3,44,182722,234903076,2013
725,Das Boot,8.4,86,182053,11433134,1981
726,What's Eating Gilbert Grape,7.8,73,182042,9170214,1993
727,Låt den rätte komma in,7.9,82,182000,2121701,2008
728,Mars Attacks!,6.3,52,181818,37754208,1996
729,G.I. Joe: The Rise of Cobra,5.8,32,181558,150167630,2009
730,Predators,6.4,51,181452,52000688,2010
731,Cowboys & Aliens,6.0,50,181125,100215116,2011
732,Before Sunset,8.0,90,181026,5792822,2004
733,Finding Neverland,7.7,67,181018,51676606,2004
734,Ice Age: Dawn of the Dinosaurs,7.0,50,180532,196573705,2009
735,Teenage Mutant Ninja Turtles,5.8,31,180405,190871240,2014
736,No Strings Attached,6.2,50,180166,70625986,2011
737,American Reunion,6.7,49,179816,56724080,2012
738,Creed,7.6,82,179562,109712885,2015
739,Anger Management,6.2,52,179171,133756285,2003
740,The Girl Next Door,6.8,47,179029,14589444,2004
741,Meet Joe Black,7.1,43,179027,44606335,1998
742,Hotel Transylvania,7.1,47,178887,148313048,2012
743,P.S. I Love You,7.1,39,178761,53680848,2007
744,Romeo + Juliet,6.8,60,178544,46338728,1996
745,Die Another Day,6.1,56,177899,160201106,2002
746,Match Point,7.7,72,177412,23089926,2005
747,The Accountant,7.4,51,176990,86198014,2016
748,Master and Commander: The Far Side of the World,7.4,81,176797,93926386,2003
749,Traffic,7.6,86,176680,124107476,2000
750,Closer,7.3,65,176435,33987757,2004
751,Ben-Hur,8.1,90,176322,70000000,1959
752,Safe House,6.8,52,176188,126149655,2012
753,Rio,6.9,63,175695,143618384,2011
754,Get Smart,6.5,54,175520,130313314,2008
755,Insurgent,6.3,42,175368,129995817,2015
756,White House Down,6.4,52,175225,73103784,2013
757,Death Race,6.4,43,175134,36064910,2008
758,Sinister,6.8,53,174690,48056940,2012
759,The Ugly Truth,6.5,28,174426,88915214,2009
760,A Good Day to Die Hard,5.3,28,174422,67344392,2013
761,Star Trek Beyond,7.1,68,174202,158804470,2016
762,"I Love You, Man",7.0,70,173603,71347010,2009
763,Southpaw,7.4,57,173207,52418902,2015
764,Rocky Balboa,7.2,63,173144,70269171,2006
765,A Walk to Remember,7.4,35,173086,41227069,2002
766,True Romance,8.0,57,172892,12281500,1993
767,The Happening,5.0,34,172616,64505912,2008
768,Cube,7.3,61,172427,489220,1997
769,Machete,6.6,60,172207,26589953,2010
770,Airplane!,7.8,78,171726,83400000,1980
771,A Series of Unfortunate Events,6.8,62,171157,118627117,2004
772,Austin Powers in Goldmember,6.2,62,170905,213079163,2002
773,Pain & Gain,6.5,45,170788,49874933,2013
774,Ace Ventura: When Nature Calls,6.3,45,170579,108360000,1995
775,Big Daddy,6.4,41,170463,163479795,1999
776,American Wedding,6.3,43,170357,104354205,2003
777,Halloween,7.8,78,170347,47000000,1978
778,Remember the Titans,7.8,48,170344,115648585,2000
779,Mr. Nobody,7.9,63,170203,3600,2009
780,"South Park: Bigger, Longer & Uncut",7.8,73,170160,52008288,1999
781,Rush Hour 2,6.6,48,170044,226138454,2001
782,EuroTrip,6.6,45,170013,17718223,2004
783,How to Lose a Guy in 10 Days,6.4,45,169943,105807520,2003
784,Blade II,6.7,52,169707,81645152,2002
785,Napoleon Dynamite,6.9,64,169591,44540956,2004
786,Hansel & Gretel: Witch Hunters,6.1,21,169461,55682070,2013
787,Focus,6.6,56,169201,53846915,2015
788,Nuovo Cinema Paradiso,8.5,80,168937,11990401,1988
789,Underworld: Evolution,6.8,36,168436,62318875,2006
790,Bad Teacher,5.7,47,168343,100292856,2011
791,Lola rennt,7.7,77,168325,7267324,1998
792,Jodaeiye Nader az Simin,8.4,95,168130,7098492,2011
793,After Earth,4.9,33,168077,60522097,2013
794,The Internship,6.3,42,167883,44665963,2013
795,What Women Want,6.4,47,167626,182805123,2000
796,2 Guns,6.7,55,167298,75573300,2013
797,Finding Dory,7.4,77,166607,486292984,2016
798,Lara Croft: Tomb Raider,5.8,33,166266,131144183,2001
799,Transporter 2,6.3,56,166239,43095600,2005
800,The Descent,7.2,71,165932,26005908,2005
801,Project X,6.7,48,165555,54724272,2012
802,Drag Me to Hell,6.6,83,165492,42057340,2009
803,Hanna,6.8,65,165484,40247512,2011
804,Now You See Me 2,6.5,46,165445,65030563,2016
805,Dark City,7.7,66,165338,14337579,1998
806,Happy Gilmore,7.0,31,165285,38624000,1996
807,Cloudy with a Chance of Meatballs,7.0,66,165237,124870275,2009
808,Minions,6.4,56,165014,336029560,2015
809,You Don't Mess with the Zohan,5.5,54,164761,100018837,2008
810,Butch Cassidy and the Sundance Kid,8.1,58,164736,102308900,1969
811,San Andreas,6.1,43,164523,155181732,2015
812,John Wick: Chapter 2,7.7,75,164290,91970516,2017
813,The World Is Not Enough,6.4,57,164197,126930660,1999
814,The Hitchhiker's Guide to the Galaxy,6.8,63,163933,51019112,2005
815,Resident Evil: Apocalypse,6.2,35,163675,50740078,2004
816,Ghost,7.0,52,163335,217631306,1990
817,The Intern,7.1,51,162925,75274748,2015
818,Big,7.3,73,162919,114968774,1988
819,Maze Runner: The Scorch Trials,6.3,43,162850,81687587,2015
820,Blue Jasmine,7.3,78,162438,33404871,2013
821,A Nightmare on Elm Street,7.5,78,162385,26505000,1984
822,Sleepers,7.6,49,162226,53300852,1996
823,Harold & Kumar Go to White Castle,7.1,64,162198,18225165,2004
824,The Croods,7.2,55,161918,187165546,2013
825,You've Got Mail,6.6,57,161897,115731542,1998
826,Resident Evil: Extinction,6.3,41,161441,50648679,2007
827,Brazil,8.0,88,161439,9929000,1985
828,Grindhouse,7.6,77,161425,25031037,2007
829,The Chronicles of Narnia: Prince Caspian,6.6,62,161209,141614023,2008
830,Revolutionary Road,7.3,69,161095,22877808,2008
831,Swordfish,6.5,32,161062,69772969,2001
832,Elf,6.9,64,160776,173381405,2003
833,Wrath of the Titans,5.8,37,160732,83640426,2012
834,Battle Los Angeles,5.8,37,159992,83552429,2011
835,Madagascar: Escape 2 Africa,6.7,61,159830,179982968,2008
836,When Harry Met Sally...,7.6,76,159768,92823600,1989
837,Modern Times,8.5,96,159658,163245,1936
838,The Taking of Pelham 123,6.4,55,159364,65452312,2009
839,Serbuan maut,7.6,73,159282,4105123,2011
840,Unstoppable,6.8,69,159068,81557479,2010
841,Coraline,7.7,80,158949,75280058,2009
842,Lo imposible,7.6,73,158933,18996755,2012
843,Godzilla,5.3,32,158889,136023813,1998
844,Jason Bourne,6.7,58,158858,162162120,2016
845,Tinker Tailor Soldier Spy,7.1,85,158740,24104113,2011
846,Tarzan,7.2,79,158414,171085177,1999
847,The Vow,6.8,43,158164,125014030,2012
848,The Bank Job,7.3,69,157948,30028592,2008
849,Everest,7.1,64,157913,43247140,2015
850,Chocolat,7.3,64,157711,71309760,2000
851,K-PAX,7.4,49,157424,50173190,2001
852,Eagle Eye,6.6,43,157353,101111837,2008
853,Sideways,7.5,94,157185,71502303,2004
854,The Purge,5.7,41,157076,64423650,2013
855,Bolt,6.9,67,156944,114053579,2008
856,Get Out,7.8,84,156930,175428355,2017
857,Shame,7.2,72,156880,4000304,2011
858,Ice Age: Continental Drift,6.6,49,156831,161317423,2012
859,Knight and Day,6.3,46,156518,76418654,2010
860,Tomorrow Never Dies,6.5,52,156505,125332007,1997
861,Surrogates,6.3,45,156367,38542418,2009
862,Ying xiong,7.9,85,156324,84961,2002
863,The Golden Compass,6.1,51,156309,70083519,2007
864,Cruel Intentions,6.8,56,156278,38201895,1999
865,Side Effects,7.1,75,156169,32154410,2013
866,Secret Window,6.6,46,156163,47781388,2004
867,Zack and Miri Make a Porno,6.6,56,155992,31452765,2008
868,This Means War,6.3,31,155948,54758461,2012
869,Cinderella Man,8.0,69,155923,61644321,2005
870,AVP: Alien vs. Predator,5.6,29,155636,80281096,2004
871,Mamma Mia!,6.4,51,155588,143704210,2008
872,Orphan,7.0,42,155433,41573740,2009
873,Stargate,7.1,42,155429,71565669,1994
874,Gremlins,7.2,70,155394,148170000,1984
875,25th Hour,7.7,67,155276,13060843,2002
876,xXx,5.8,48,154699,141204016,2002
877,Air Force One,6.5,61,154413,172620724,1997
878,How the Grinch Stole Christmas,6.0,46,154328,260031035,2000
879,The Next Three Days,7.4,52,154273,21129348,2010
880,Chef,7.3,68,154177,31237528,2014
881,17 Again,6.4,48,154140,64149837,2009
882,Dirty Dancing,6.9,65,154016,63892689,1987
883,Dracula,7.5,57,153789,82522790,1992
884,The Last King of Scotland,7.7,74,153726,17605861,2006
885,Ghostbusters,5.3,60,153667,128344089,2016
886,Beauty and the Beast,7.4,65,153654,503974884,2017
887,G.I. Joe: Retaliation,5.8,41,153569,122512052,2013
888,Blue Valentine,7.4,81,153200,9701559,2010
889,Love & Other Drugs,6.7,55,153171,32357532,2010
890,Get Him to the Greek,6.4,65,153007,60923325,2010
891,Waterworld,6.1,56,152376,88246220,1995
892,Fantastic Mr. Fox,7.8,83,152063,20999103,2009
893,Jupiter Ascending,5.3,40,152011,47375327,2015
894,Adaptation.,7.7,83,151975,22245861,2002
895,The Woman in Black,6.4,62,151960,54322273,2012
896,The Blues Brothers,7.9,60,151929,54200000,1980
897,Who Framed Roger Rabbit,7.7,83,151878,154222492,1988
898,Charlie's Angels,5.5,52,151848,125305545,2000
899,Enchanted,7.1,75,151842,127706877,2007
900,Ronin,7.3,67,151760,41609593,1998
901,Moonlight,7.5,99,151724,27850912,2016
902,Twister,6.3,68,151385,241688385,1996
903,The English Patient,7.4,87,151268,78651430,1996
904,The Hunt for Red October,7.6,58,151255,122012643,1990
905,Ghostbusters II,6.5,56,151119,112494738,1989
906,Jarhead,7.0,58,151060,62647540,2005
907,Fracture,7.2,68,150856,39004700,2007
908,Percy Jackson & the Olympians: The Lightning Thief,5.9,47,150751,88761720,2010
909,Dracula Untold,6.3,40,150621,55942830,2014
910,Saw III,6.2,48,150594,80150343,2006
911,About a Boy,7.1,75,150201,40566655,2002
912,The Life Aquatic with Steve Zissou,7.3,62,149880,24006726,2004
913,Pi,7.5,72,149601,3216970,1998
914,Manchester by the Sea,7.9,96,149507,47695120,2016
915,High Fidelity,7.5,79,149461,27277055,2000
916,Close Encounters of the Third Kind,7.7,92,149164,128300000,1977
917,Chicken Run,7.0,88,148981,106793915,2000
918,Shrek Forever After,6.3,58,148956,238371987,2010
919,Miss Congeniality,6.2,43,148788,106807667,2000
920,The Judge,7.4,48,148715,47105085,2014
921,The Darjeeling Limited,7.2,67,148387,11896380,2007
922,Ed Wood,7.9,70,148287,5887457,1994
923,Sully,7.5,74,148122,125065700,2016
924,What Happens in Vegas,6.1,36,147899,80276912,2008
925,The League of Extraordinary Gentlemen,5.8,30,147664,66462600,2003
926,Beowulf,6.2,59,147440,82161969,2007
927,The Thin Red Line,7.6,78,147334,36385763,1998
928,Rocky IV,6.8,42,147285,127900000,1985
929,The Boy in the Striped Pyjamas,7.8,55,147217,9030581,2008
930,El secreto de sus ojos,8.2,80,147196,20167424,2009
931,The Talented Mr. Ripley,7.3,76,147084,81292135,1999
932,Taken 3,6.0,26,146928,89253340,2014
933,Desperado,7.2,55,146609,25625110,1995
934,A Million Ways to Die in the West,6.1,44,146585,42615685,2014
935,Goldfinger,7.8,87,146411,51100000,1964
936,Hostel,5.9,55,146352,47277326,2005
937,Hitman,6.3,35,145972,39687528,2007
938,The Day the Earth Stood Still,5.5,40,145764,79363785,2008
939,Tomorrowland,6.5,60,145471,93417865,2015
940,30 Days of Night,6.6,53,145450,39568996,2007
941,Spaceballs,7.1,46,145426,38119483,1987
942,The Assassination of Jesse James by the Coward Robert Ford,7.5,68,145111,3904982,2007
943,Alexander,5.5,39,145107,34293771,2004
944,The Tree of Life,6.8,85,144930,13303319,2011
945,A Knight's Tale,6.9,56,144891,56083966,2001
946,Hot Tub Time Machine,6.4,63,144745,50213619,2010
947,Need for Speed,6.5,39,144664,43568507,2014
948,Blue Velvet,7.8,76,144552,8551228,1986
949,Mud,7.4,76,144502,21589307,2012
950,Planet of the Apes,8.0,79,144447,26000000,1968
951,Misery,7.8,75,144304,61276872,1990
952,Milk,7.6,84,144240,31838002,2008
953,Erin Brockovich,7.3,73,144104,125548685,2000
954,Three Kings,7.1,82,144088,60652036,1999
955,Immortals,6.0,46,144002,83503161,2011
956,Mama,6.2,57,143992,71588220,2013
957,The Conjuring 2,7.4,65,143942,102461593,2016
958,The Crow,7.6,71,143830,50693162,1994
959,Straight Outta Compton,7.9,72,143810,161029270,2015
960,The Ninth Gate,6.7,44,143779,18653746,1999
961,The Mask of Zorro,6.7,63,143624,93771072,1998
962,Rushmore,7.7,86,143484,17096053,1998
963,King Arthur,6.3,46,143251,51877963,2004
964,Legally Blonde,6.2,59,143181,95001351,2001
965,The Change-Up,6.3,39,142971,37035845,2011
966,Primal Fear,7.7,47,142890,56059267,1996
967,Happy Feet,6.5,77,142750,197992827,2006
968,Falling Down,7.6,56,142589,40903593,1993
969,Resident Evil: Afterlife,5.9,37,142555,60128566,2010
970,Basic Instinct,6.9,41,142543,117727224,1992
971,Mad Max 2,7.6,76,142341,9003011,1981
972,Blade: Trinity,5.9,38,142136,52397389,2004
973,Night at the Museum: Battle of the Smithsonian,5.9,42,141937,177243721,2009
974,Team America: World Police,7.2,64,141864,32774834,2004
975,It Follows,6.9,83,141544,14673301,2014
976,The Heat,6.6,60,141440,159578352,2013
977,The Green Hornet,5.8,39,141261,98780042,2011
978,Moana,7.7,81,141278,248752120,2016
979,Deep Impact,6.1,40,141189,140459099,1998
980,Layer Cake,7.4,73,141180,2338695,2004
981,Kong: Skull Island,6.8,62,141142,167986460,2017
982,Anchorman 2: The Legend Continues,6.3,61,140993,2175312,2013
983,Shark Tale,6.0,48,140904,160762022,2004
984,The Insider,7.9,84,140053,28965197,1999
985,The Emperor's New Groove,7.3,70,139998,89296573,2000
986,Ted 2,6.3,48,139920,81257500,2015
987,Michael Clayton,7.3,82,139835,49024969,2007
988,The Expendables 3,6.1,35,139657,39292022,2014
989,Nocturnal Animals,7.5,67,139583,10639114,2016
990,Road Trip,6.5,55,139401,68525609,2000
991,Talladega Nights: The Ballad of Ricky Bobby,6.6,66,139143,148213377,2006
992,The Abyss,7.6,62,139122,54222000,1989
993,The Ghost Writer,7.2,77,139082,15523168,2010
994,He's Just Not That Into You,6.4,47,138885,93952276,2009
995,Exodus: Gods and Kings,6.0,52,138865,65007045,2014
996,Melancholia,7.1,80,138710,3029870,2011
997,The Iron Giant,8.0,85,138639,23159305,1999
998,The Perfect Storm,6.4,59,138554,182618434,2000
999,Tucker and Dale vs Evil,7.6,65,138509,223615,2010
1000,The Longest Yard,6.4,48,138491,158115031,2005
1001,Adventureland,6.8,76,138187,16025394,2009
1002,Black Mass,6.9,68,138156,62563543,2015
1003,Letters from Iwo Jima,7.9,89,138032,13753931,2006
1004,Hard Candy,7.1,58,137996,1007962,2005
1005,Army of Darkness,7.6,57,137941,11501093,1992
1006,The Hills Have Eyes,6.4,52,137851,41777564,2006
1007,The Babadook,6.8,86,137038,924279,2014
1008,Cape Fear,7.3,73,136823,79100000,1991
1009,Blades of Glory,6.3,64,136657,118153533,2007
1010,Lethal Weapon 2,7.2,70,136396,147253986,1989
1011,Once Upon a Time in Mexico,6.4,56,136260,55845943,2003
1012,Wild Wild West,4.8,38,135320,113745408,1999
1013,Beverly Hills Cop,7.3,64,135273,234760500,1984
1014,Lethal Weapon 3,6.7,36,135171,144731527,1992
1015,RED 2,6.7,47,134987,53215979,2013
1016,Transporter 3,6.1,51,134905,31316973,2008
1017,Over the Hedge,6.8,67,134876,155019340,2006
1018,Clueless,6.8,68,134864,56631572,1995
1019,Superman,7.3,86,134687,134218018,1978
1020,Evil Dead,6.5,57,134599,54239856,2013
1021,Abraham Lincoln: Vampire Hunter,5.9,42,134404,37516013,2012
1022,Date Night,6.3,56,134374,98711404,2010
1023,"Definitely, Maybe",7.2,59,134254,31973840,2008
1024,Shoot 'Em Up,6.7,49,134142,12796824,2007
1025,"Girl, Interrupted",7.3,51,134122,28871190,1999
1026,Lethal Weapon 4,6.6,37,134095,129734803,1998
1027,Independence Day: Resurgence,5.3,32,133743,103137295,2016
1028,Jay and Silent Bob Strike Back,6.9,51,133666,30059386,2001
1029,The Man in the Iron Mask,6.5,48,133527,56876365,1998
1030,Riddick,6.4,49,133405,41997790,2013
1031,Flightplan,6.2,53,133137,89706988,2005
1032,The Polar Express,6.6,61,132769,584413,2004
1033,Demolition Man,6.6,34,132412,58055768,1993
1034,Rise of the Guardians,7.3,57,132232,103400692,2012
1035,Dazed and Confused,7.7,78,132217,7993039,1993
1036,27 Dresses,6.1,47,132128,76806312,2008
1037,The Sorcerer's Apprentice,6.1,46,132125,63143812,2010
1038,Vantage Point,6.6,40,132099,72266306,2008
1039,Scream 2,6.1,63,132029,101334374,1997
1040,The Lovely Bones,6.7,42,131978,43982842,2009
1041,Pocahontas,6.7,58,131838,141600000,1995
1042,Invictus,7.4,74,131436,37479778,2009
1043,The Magnificent Seven,6.9,54,131426,93381044,2016
1044,Underworld: Rise of the Lycans,6.6,44,131309,45802315,2009
1045,Don't Breathe,7.2,71,131195,89210468,2016
