"country_name","country_code","x1990","x1991","x1992","x1993","x1994","x1995","x1996","x1997","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013","x2014"
"Afghanistan","AFG",15.4457372763011,15.2277561686197,14.9321115558358,14.7093386175223,14.6299172957397,14.4363583614661,14.2654905061853,14.107200070194,13.9517955389351,13.8900541974414,13.6285038761217,13.6021942542111,13.6440523811386,13.7174890888038,13.7727923127076,13.9706651043726,14.1698547841415,14.5068954674788,14.8149809394552,15.1474819505818,15.5381245851444,15.7547347524308,15.8645443437501,15.9396702299616,16.0514394962357
"Albania","ALB",40.5619362153103,41.2161598574584,41.7423291411136,42.2879807668356,42.6780641088185,42.939372579227,42.6236581749208,42.3743767284765,41.9481773670031,41.4143884913417,41.1573822881209,41.0700383256932,41.1777717293096,41.244409748068,41.3881114505727,41.4125083412518,41.4266265961707,41.3099482488226,41.0951691665277,41.0102050645588,40.9169480337546,40.9995435514842,41.072525473242,41.1766351675561,41.2665096675167
"Algeria","DZA",11.632404083848,11.8385830984253,12.0413805739628,12.2681458329292,12.490695521386,12.7914063631585,13.0016512719827,13.1117248394783,13.1949183071456,13.2810773667074,13.48421485936,13.6664428062807,13.9662713668142,14.2701636609233,14.5438660742614,14.9350238801293,15.3274368216038,15.8026664931846,16.3167780585623,16.7542586323309,16.8776628017031,16.9972350357872,17.1129602529275,17.264964222262,17.3761564927251
"Angola","AGO",47.5806058010098,47.7310854219833,48.1755817294927,49.4125502613777,49.4007644266064,49.0933368494144,48.7923291613234,48.6265659381816,48.4606206788338,48.3701195764486,48.420795034107,48.3408421357417,47.8146136800794,47.8709359349424,47.4889709246281,46.8690705863425,46.2498384100533,45.615249108303,45.292129841751,45.5966615649837,45.8949803296441,45.960325096225,46.0223101927937,46.0814681121625,46.2045538524439
"Argentina","ARG",36.0994710160006,35.9195623333353,35.8211596880901,36.1317549312879,36.2902138833081,36.7599597904873,37.0100599602504,37.1966810615725,37.5372111698088,37.8125285377977,38.0864564777918,38.5806573120528,39.07136009383,39.5581699816027,40.7029791563549,40.6166949480067,40.5313276701414,40.8080928620372,41.0022347592836,41.2828639070393,40.2156872661754,40.3120880191881,40.3235877509657,40.4204178967589,40.4313595423156
"Armenia","ARM",46.2192543339326,46.3735740530558,47.0744942350682,47.4671982454846,47.7437556930175,48.0186307949974,48.2379615764682,48.5802179892024,48.704651222935,48.7490370152977,48.7643812743082,48.5429795031954,47.8925320663073,47.158191362841,46.2525339054468,45.2069387410699,44.0943906164874,42.7634992052625,41.5235764801557,42.2472842313169,41.374008449287,43.1880910486766,44.2331787540602,45.2620541252647,46.1778456137967
"Australia","AUS",41.3649222788725,41.5393555191028,41.7642713400841,41.828506739862,42.3032672472025,42.7192358904444,42.8530740194031,42.9650853524208,43.0984290136275,43.3051151210297,43.6675456800522,43.8998812216946,44.0515666902353,44.4543554669417,44.3535314482437,44.6626368896989,44.8149093944627,44.8886339006821,45.0202327022414,45.1254721160235,45.0968388602357,45.2474840255457,45.3050733691318,45.3838160164537,45.3888197671286
"Austria","AUT",40.8783407427129,41.0564226023776,41.629280892446,41.9604665694871,42.9069721083874,42.8818740649426,42.9688983355127,43.0823858073444,43.1694288453636,43.2212088505826,43.3266090683119,43.6681258574511,44.0992687299621,44.387619642995,44.8927074960858,45.1224652101147,45.3535347694644,45.2543004817709,45.6618125319984,46.0666613050475,46.0706761445415,46.00524483961,46.1817868044297,46.0085672594883,46.0049915356148
"Azerbaijan","AZE",45.488527340106,45.5402334339299,45.5440958397295,45.6843581783078,45.8777587080524,46.057328275526,46.1795509338388,46.2421649456167,46.3002807307504,46.4071060340755,46.8255682307107,47.1786824387404,47.4192618339763,47.6357849690326,47.8560248705578,48.1647517642782,48.3980347041388,48.7221911951045,48.9874169267299,48.9612866862198,49.3867361794294,49.2524267695919,48.9830553793481,48.8819905742888,48.6302378382898
"Bahamas, The","BHS",45.90179709866,45.9725117751525,46.1163451473007,46.2066211703209,46.3825192148892,46.7593467593468,47.3047682444032,47.9432474299394,48.7436292942289,48.7580197526421,48.7360657393999,48.7013493994717,48.6267687457214,48.524796743042,48.4166014461434,48.321543842287,48.3103627084414,48.312210609869,48.3149407730514,48.3107889939247,48.2937592336884,48.2765961472959,48.3295491404476,48.3140757972983,48.300774709205
"Bahrain","BHR",17.0248257352667,17.5455266660989,17.9150599202794,18.2460477196616,18.6952017382261,19.1126425873998,19.6084132618382,20.1876407122599,20.7357398245174,21.0967594190812,21.3623667672363,21.4337989034707,21.1158362873877,20.8336475220979,20.5376754596992,20.1232753148699,19.8663902617841,19.6227780457936,19.4969509675927,19.3955900414091,19.4245763032326,19.4122900842106,19.4502843264699,19.4775766063152,19.5655043229587
"Bangladesh","BGD",39.6803567563605,39.8099625386676,39.5134610634184,39.3352843156945,39.0857826248569,38.7735249241043,38.5048735191816,38.294089212491,38.0231907701544,37.8012565348617,37.524405984917,37.7502791830318,37.9075446979923,38.1378602870714,38.3075030151156,38.5587027062423,38.8476605453515,39.1497954096612,39.3846296189506,39.6805518625296,39.9610885908537,40.0815242011217,40.2437332460742,40.324293925872,40.413038880872
