price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$150,000",3,1,"1,000",,76 Lee Ave,Deptford Township,NJ,08096,ReMax Preferred
"$99,000",3,1,"1,439",,412 Nassau Ave,Paulsboro,NJ,08066,Kw Realty-East Monmouth
"$142,500",2,2,"1,260",,306 Redbud Ln,Mantua,NJ,08051,Keller Williams Realty - Washington Township
"$49,000",1,1,656,,806 Pitman Ave,National Park,NJ,08063,"Weichert, Realtors - Washington Township"
"$28,900",3,1,"1,248",,437 Sheridan Ave,Paulsboro,NJ,08066,"Usrealty.Com, Llp"
"$190,000",3,1+,"1,608",2,1276 Puritan Ave,West Deptford,NJ,08096,Mullica Hill
"$204,900",3,1+,"2,084",yes,104 S Childs St,Woodbury,NJ,08096,Vineland
"$128,800",3,1,"1,400",3,141 Nassau Ave,Paulsboro,NJ,08066,Medford
"$199,500",3,2,"1,625",,112 Dubois Ave,West Deptford,NJ,08096,Re/Max Preferred
"$30,000",3,1,657,,16 1st Ave,West Deptford,NJ,08051,RE/MAX Connection Realtors - Haddonfield
"$115,000",3,2+,"1,520",,12 Laurel Ct,Deptford Township,NJ,08096,CENTURY 21 Rauh & Johns
"$65,000",1,1,720,,708 Winding Way,Deptford,NJ,08093,The Property Alliance Llc
"$85,000",4,2,"1,440",,365-367 W Buck St,Paulsboro,NJ,08066,Mullica Hill
"$129,000",2,2,"1,051",,166 Crestmont Dr,Mantua,NJ,08051,Washington-Gloucester Home Marketing Center
"$116,900",2,,"1,680",,1747A-B Swedesboro Ave,Paulsboro,NJ,08066,Community
"$339,000",4,2+,"3,153",3,666 Worcester Dr,West Deptford,NJ,08086,Moorestown
"$329,000",4,2+,"3,212",3,169 Rugby Pl,Woodbury,NJ,08096,Mullica Hill North
"$64,100",3,1,"1,328",,1145 Hessian Ave,Westville,NJ,08093,RealHome Services & Solutions
"$455,000",4,3+,"4,380",,34 Kristen Ln,Mantua,NJ,08051,Joe Wiessner Realty
"$64,840",1,1,672,,107 Winding Way,Westville,NJ,08093,Washington-Gloucester Home Marketing Center
"$82,900",4,2,"1,718",,1229 Taft Ave,West Deptford,NJ,08096,RE/MAX Preferred-Sewell
"$59,400",3,2,"1,066",,1569 S Delaware St,Paulsboro,NJ,08066,"BRUCE, INC"
