"country_name","country_code","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013"
"United Arab Emirates","ARE",3913,4123,4136,4475,4442,4491,4724,5567,6375,6153,6561,7096,8047,8396,8452,8530
"United Kingdom","GBR",28142,27752,22328,27922,29598,31887,24004,23053,23226,25178,21675,23577,24600,28658,26354,27377
"United States","USA",38208,41503,43482,47682,52289,51429,50629,52699,54419,57455,55294,57017,57506,59759,60297,60292
"Uruguay","URY",1285,1340,1472,1492,1724,1898,1864,2023,2136,2646,2431,2464,2866,2712,2471,2360
"Uzbekistan","UZB",13464,13528,13319,11196,12939,12717,17288,23360,29197,32048,31366,29010,24250,23374,20406,18783
"Venezuela, RB","VEN",7557,7608,8010,7870,9766,10187,9722,9740,9429,12255,12543,12952,13792,11809,12138,11915
"Vietnam","VNM",7858,8169,9148,9847,12197,14889,17030,20801,23330,28012,36514,43945,47268,52029,53004,53546
"West Bank and Gaza","PSE",9821,9769,9914,10322,10582,11029,11081,11800,12192,13334,14096,15479,15400,16621,18913,20918
"Yemen, Rep.","YEM",5867,5859,6248,6486,7487,7656,8703,9171,9290,9078,10299,11235,9012,13446,14676,16881
"Zambia","ZMB",2665,3929,5117,4668,4755,3920,3873,4063,4174,4656,5159,5241,5244,5604,4235,3994
"Zimbabwe","ZWE",6802,8485,10514,12232,15525,17576,15464,15994,16200,21347,24581,20792,25236,28700,16012,15885
